feature,feature_importance
Heart_Rate,0
Pressure_Mean,258
Pressure_Std.Dev,0
ODBA_Mean,189
ODBA_Std.Dev,256
GyrZ_Mean,10
GyrZ_Std.Dev,528
yasa_eeg_std,255
yasa_eeg_iqr,1
yasa_eeg_skew,17
yasa_eeg_kurt,495
yasa_eeg_nzc,1
yasa_eeg_hmob,5
yasa_eeg_hcomp,19
yasa_eeg_sdelta,3
yasa_eeg_fdelta,28
yasa_eeg_theta,1
yasa_eeg_alpha,5
yasa_eeg_sigma,0
yasa_eeg_beta,0
yasa_eeg_dt,0
yasa_eeg_ds,0
yasa_eeg_db,6
yasa_eeg_at,324
yasa_eeg_abspow,0
yasa_eeg_sdelta_relative,0
yasa_eeg_fdelta_relative,77
yasa_eeg_theta_relative,9
yasa_eeg_alpha_relative,2
yasa_eeg_sigma_relative,0
yasa_eeg_beta_relative,0
yasa_eeg_perm,6
yasa_eeg_higuchi,56
yasa_eeg_petrosian,21
yasa_heartrate_mean,72
yasa_heartrate_std,53
yasa_heartrate_iqr,31
yasa_heartrate_skew,36
yasa_heartrate_kurt,76
yasa_heartrate_hmob,49
yasa_heartrate_hcomp,106
yasa_heartrate_vlf,2
yasa_heartrate_lf,5
yasa_heartrate_hf,20
yasa_heartrate_lf/hf,44
yasa_heartrate_p_total,3
yasa_heartrate_vlf_perc,25
yasa_heartrate_lf_perc,0
yasa_heartrate_hf_perc,24
yasa_heartrate_lf_nu,0
yasa_heartrate_hf_nu,1
EPOCH_16_WELCH_1_EEG_std,92
EPOCH_16_WELCH_1_EEG_iqr,0
EPOCH_16_WELCH_1_EEG_skew,0
EPOCH_16_WELCH_1_EEG_kurt,100
EPOCH_16_WELCH_1_EEG_nzc,0
EPOCH_16_WELCH_1_EEG_hmob,0
EPOCH_16_WELCH_1_EEG_hcomp,24
EPOCH_16_WELCH_1_EEG_BP_0_0.5,0
EPOCH_16_WELCH_1_EEG_BP_0.5_1,0
EPOCH_16_WELCH_1_EEG_BP_1_2,0
EPOCH_16_WELCH_1_EEG_BP_2_3,0
EPOCH_16_WELCH_1_EEG_BP_3_4,0
EPOCH_16_WELCH_1_EEG_BP_4_5,0
EPOCH_16_WELCH_1_EEG_BP_5_6,0
EPOCH_16_WELCH_1_EEG_BP_6_7,0
